project;plan
bootstrap_site_alert;"Drupal 9 is fully supported since versions 8.x-1.8 && 8.x-2.0-beta5"
facets_block;"This module is Drupal 9 ready."
serial;"8.x-1.x is Drupal 9 compatible."
modules_weight;"This module is ready for Drupal 9."
mobile_detect;"Mobile Detect already works with Drupal 9."
paragraphs_admin;"Ready to be used with Drupal 9."
twigsuggest;"This module is ported to Drupal 9."
config_delete;"This module is Drupal 9 ready."
varbase_landing;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_landing?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
composite_reference;"This module is ready for Drupal 9."
search_api_solr_multilingual;"This functionality of this module is already merged in Search API Solr itself. Just use that one. But the 3.x version of Search API Solr Multilingual still provides the required upgrade hooks to switch to Search API Solr! The 3.1 version and it's upgrade hooks already support Drupal 9!"
vartheme;"<strong><a href=""https://www.drupal.org/project/issues/search/vartheme?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
pdfpreview;"This module is ready for Drupal 9."
git_deploy;"Git Deploy fully supports Drupal 9."
view_mode_page;"Version 4.0.0 supports Drupal 9."
collapsiblock;"8.x-2.1+ passes <a href=""https://github.com/mglaman/drupal-check"">drupal-check</a> and may be used with Drupal 9"
date_recur_modular;"Drupal 9 is supported by the 3.x branch. Which is compatible with 1.x/2.x branches."
bricks;"Porting efforts at [#3131548]"
config_default_image;"This module is Drupal 9 ready."
no_autocomplete;"This module is ready for Drupal 9."
language_switcher_extended;"The module is compatible with Drupal 8 and Drupal 9."
migrate_manifest;"Currently blocked by missing functionality in core's migration system. https://www.drupal.org/project/drupal/issues/3154398#comment-13715800"
login_popup;"Drupal 9 compatible"
entity_update;"Drupal 9 ready"
text_summary_options;"This module is already compatible with Drupal 9."
entity_reference_facet_link;"Version Beta 6 and higher is compatible with Drupal 9"
filehash;"The 8.x-1.x branch of this module supports Drupal 9."
apigee_edge;"8.x-1.10+ is Drupal 9 compatible."
vartheme_bs4;"<strong><a href=""/project/issues/search/vartheme_bs4?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
disable_link_rel;"The current module version is ready to run!"
varbase_heroslider_media;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_heroslider_media?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
comment_notify;"Compatible with Drupal 9"
textimage;"Textimage 8.x-4.* is Drupal 9 ready."
background_image;"Version 2.0.0 and higher supports Drupal 9."
critical_css;"This module is ready for Drupal 9 as of <a href=""https://www.drupal.org/project/critical_css/releases/8.x-1.13"">version 1.13</a>"
cookiebot;"8.x-1.0-alpha7+ is Drupal 9 compatible."
menu_force;"This module is Drupal 9 compatible since the 1.2 release."
disable_field;"Disable Field is ready for Drupal 9."
devel_debug_log;"#3084266: Test for Drupal 9 deprecations"
photos;"Help port this project at [#3100870] Fund the port of this project at <a href=""https://buysomephotos.com/about"">the demo site</a>."
views_send;"Version 8.x-1.5 is ready for Drupal 9."
mail_safety;"8.x-1.1+ is Drupal 9 compatible."
simple_megamenu;"8.x-1.0 version is now compatible with Drupal 9."
views_show_more;"Views Show More 8.x-1.0 supports Drupal 9."
openid_connect_windows_aad;"Actively working on Drupal 9 readiness. Expected June 2020 - dev available as of 20 June 2020."
copyright_block;"8.x-1.0-rc3 is Drupal 9 compatible."
rng;"Drupal 9 support is complete on the new 3.x branch!"
config_selector;"This project has released 8.x-2.0 that is compatible with Drupal 9 and has automated tests."
role_expire;"Fully compatible with Drupal 9 since 8.x-1.4."
nodeviewcount;"<a href=""https://www.drupal.org/project/nodeviewcount/issues/3103468"">#3103468: Add new key core_version_requirement in nodeviewcount.info.yml </a>"
examples;"Help port this project at [#3088974]"
vppr;"8.x-1.1 release is compatible with Drupal 9."
vertical_tabs_config;"This module is already compatible with Drupal 9."
taxonomy_delete;"Taxonomy delete 8.x-1.1+ supports Drupal 9"
bootstrap_basic_image_gallery;"Drupal 9 compatible"
ckeditor_abbreviation;"This project is ready for Drupal 9"
jquery_countdown_timer;"This module is Drupal 9 compatible 🍻"
reference_table_formatter;[#3144081]
field_slideshow;"Branch 8.3 is compatible with Drupal 9 :)"
block_in_page_not_found;"This module is compatible with Drupal 9."
nbsp;"NBSP is now out for Drupal 9"
wordpress_migrate;"This module supports Drupal 8 and 9! Help welcome on Drush 9/10: [#2955644]"
smsframework;"Drupal 9 support can be found in 2.x versions. It is a drop in replacement for 1.x branch."
video_embed_brightcove;"This module is Drupal 9 compatible."
onlyone;"This module is ready for Drupal 9."
content_language_access;"Version 8.x-1.x-dev should work on Drupal 9. Please report any issues you find"
tzfield;"The 8.x-1.x branch of this module supports Drupal 9."
route_condition;"This project will be compatible with Drupal 9 when it is released."
entity_hierarchy;"Versions from 8.x-2.18 onwards are Drupal 9 compatible"
moderated_content_bulk_publish;"The latest release supports Drupal 9­"
varbase_styleguide;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_styleguide?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
varbase_carousels;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_carousels?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
realistic_dummy_content;"This project is Drupal 9-compatible."
file_download_link;"Releases beginning with beta3 are compatible with Drupal 9."
views_timelinejs;"Versions 8.x-3.2 and higher are compatible with Drupal 9!"
key_auth;"Completed with version 8.x-1.1."
vani;"This theme is Drupal 9 ready. Vani theme is compatible on Drupal 9. So, go ahead and use the theme on Drupal 9 websites."
bfd;"This theme is compatible with Drupal 9."
term_merge;"This module's source code will be kept compatible with Drupal 9 by regularly replacing usage of deprecated functionality. That should be all that's needed to ensure it runs on Drupal 9."
core_views_facets;"see [#3106829]"
nextpre;"This module is fully compatible with Drupal 9!"
jsonapi_include;"JSON:API Include 8.x-1.1+ supports Drupal 9. Enjoy."
view_modes_display;"Supported as of 8.x-2.2!"
media_migration;"Media Migration is compatible with Drupal 9 from its <code>8.x-1.0-alpha2</code> release."
tara;"Since Version 8.x-2.0 Tara theme is now compatible with Drupal 9 also."
cheeseburger_menu;"This module is Drupal 9 ready."
forms_steps;"This module is compatible with D9 !"
modifiers;"This module is Drupal 9 compatible."
fz152;"Drupal 9 support added in 8.x-1.5 release."
forward;"Drupal 9 releases of Forward are ready for Production use."
copyright_footer;"<a href=""https://www.drupal.org/project/copyright_footer/issues/3138975"" title=""Drupal 9 readiness"">Issue #3138975: Drupal 9 readiness</a>"
contextual_range_filter;"Works in D8 as well as D9."
config_role_split;"Config Role Split is compatible with Drupal 9"
better_search;"Better Search Block 8.x-1.5+ supports Drupal 9. Enjoy."
varbase_email;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_email?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
http2_server_push;"This module is ready for Drupal 9 as of <a href=""https://www.drupal.org/project/http2_server_push/releases/8.x-1.1"">version 1.1</a>!"
hierarchical_term_formatter;"Version 1.2 adds Drupal 9 support."
advanced_help;"Release 8.x-1.0-beta1 is believed to be fully compatible."
broken_link;"Drupal 9 compatible from 8.x-3.1 version"
simple_responsive_table;"Drupal 9 compatible ftom 8.x-2.3 version."
queue_mail;"Drupal 9 compatible"
twitter_embed;"8.x-1.x is Drupal 9 compatible."
slick_lightbox;"Slick Lightbox 8.x supports Drupal 9. Enjoy."
datetime_extras;"datetime_extras is D9 ready as of <a href=""https://www.drupal.org/project/datetime_extras/releases/8.x-1.0-alpha2"">8.x-1.0-alpha2</a>. Older versions of upgrade_status give false positives for deprecations, since we have fallback code to keep supporting 8.7.x core. You need at least phpstan version 0.12.19 for the ignore comments to work."
fotorama_gallery;"🎉This module is currently compatible with Drupal 9. See [#3062325]"
xmlrpc;"Version 8.x-1.0-beta3 is compatible with both Drupal 8 and 9."
blazy_photoswipe;"Blazy PhotoSwipe 8.x supports Drupal 9. Enjoy."
scheduled_transitions;"2.x branch is compatible with Drupal 9."
gin_login;"This module is ready for D9!"
apigee_api_catalog;"8.x-2.0+ is Drupal 9 compatible."
modal_page;"Modal Page 4.0.0+ supports Drupal 9. Enjoy! 🎉"
http_response_headers;"Ready for Drupal 9."
copyprevention;"This module is Drupal 9 compatible 🍻"
entity_reference_tree;"2.0.0+ Support Drupal 9."
og;"The next alpha release (alpha 6) will be compatible with Drupal 9.1. See https://github.com/Gizra/og/pull/650"
varbase_search;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_search?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
bootstrap_layout_builder;"Ready for Drupal 9!"
ckeditor_responsive_plugin;"This module is compatible with drupal 9 started version 2.0.0"
fancy_file_delete;"2.0.0+ Is D9 compatible."
page_specific_class;"Fully Drupal 9 compatible as of 2.0.x."
cms_content_sync;"This module is Drupal 9 ready."
pcb;"This module is Drupal 9 ready."
nice_login;"Compatible with Drupal 9"
scss_compiler;"This module is ready for Drupal 9."
fallback_formatter;"This module is Drupal 9 ready."
twig_render_this;"This module is Drupal 9 ready."
noreferrer;"The 8.x-1.x branch of this module supports Drupal 9."
rabbitmq;"Planned for <code>3.x</code>"
webform_node_element;"8.x-1.x-dev branch is D9 ready with the exception of tests."
bg_img_field;"8.x-1.7 is compatible with Drupal 9."
userswitch;"User Switch 8.x-1.5 + supports Drupal 9. Enjoy."
layout_section_classes;"D9 compatible."
s3fs_cors;"This module now works with Drupal 9."
material_base;"The theme versions 1.8+ and 2.0+ are compatible with Drupal 9"
terms_of_use;"8.x-2.0+ is Drupal 9 compatible."
termcase;"The development release is Drupal 9 compatible. The next stable release after 8.x-1.0 will be Drupal 9 ready."
language_cookie;"Read more about this project’s readiness at [#3134366]."
dbal;"The module works with D9 🌰"
job_scheduler;"Currently no known issues with Drupal 9."
estore;"<h2>Drupal 9 Compatibility</h2> The theme is safe to be installed on the D9 project once the all modules dependencies will be ported to D9."
imagefield_tokens;"Module versions from <strong>8.x-2.2</strong>+ are Drupal Core<strong> 8.8.*+</strong> compatible Module versions before <strong>8.x-2.2</strong> are compatible with Drupal Core <strong>8.5 - 8.7</strong>"
entityconnect;"Entity connect 8.x-2.0-alpha2+ is Drupal 9 compatible."
webform_content_creator;"Webform Content Creator 8.x-1.6+ supports Drupal 9. Enjoy."
menu_delete;"This module is fully compatible with Drupal 9."
delete_files;"Delete Files 8.x-1.5+ supports Drupal 9."
webform_xlsx_export;"This module is Drupal 9 ready."
commerce_google_tag_manager;"Commerce Google Tag Manager is ready for Drupal 9 - see the issue [#3090750]"
extra_field_description;"Extra Field Description 8.x-1.6+ supports Drupal 9. Enjoy."
config_actions;"Help port this project at [#3081856]."
entityreference_dragdrop;"This module is ready for Drupal 9!"
ckeditor_contents;"<h2>Drupal 9 ready</h2> Tested and working with Drupal 9 since 8.x-1.2.  Drupal is moving to semantic versioning for modules. Until then, Drupal 9 will use 8.x modules flagged with `core_version_requirement`."
geshifilter;"The new dev branch 8.2 works with Drupal 8.8.x and with Drupal 9, so the plan is to release a beta version when Drupal 9 come and if there is not any new issue with it, release a stable version after."
transaction;"This module is compatible with Drupal 9 from version 1.0-beta1 onwards"
theme_switcher;"Theme Switcher supports Drupal 9."
varbase_blog;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_blog?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
lingotek;"D9 Ready!  Tasks were done under [#3065940]"
search_api_field_map;"<strong>This module should be ready for use with Drupal 9.</strong>"
hotkeys_for_save;"The module is ready for Drupal 9."
create_user_permission;"The version 2.0.0 is fully compatible with Drupal 9."
tooltip_taxonomy;"Tooltip Taxonomy 8.x-1.3+ supports Drupal 9."
maillog;"Should work with Drupal 9 as of the 8.x-1.0-beta1 release."
scn;"8.x-1.4+ is Drupal 9 compatible."
drimage;"Drupal 9 is fully supported."
fillpdf;"Ready for Drupal 9, but some dependencies are not. Will not move to beta until they are. To sponsor development, see the <strong><a href=""#fund"">Help fund development</a></strong> section."
reg_confirm_email;"Help port this project at [#3105943]"
htmlawed;"Drupal 9 port of this module is available."
field_gallery;"Drupal 9 ready"
bxslider;"BxSlider is Drupal 9 compatible."
media_gallery;"8.x-1.0+ is Drupal 9 compatible."
config_normalizer;"8.x-1.x is Drupal 9 compatible."
addtocal;"Drupal 8/9 release support thanks to Greg Boggs.  9.x release pending, but 8.x is D9 ready."
warden;"Use the 3.x releases for Drupal 9."
preview_link;"Preview Link 1.6 and later support Drupal 9"
block_form_alter;"This module is ready for Drupal 9!"
views_year_filter;"Release <code>8.x-1.1</code> is D9 compatible!"
modifiers_pack;"This module is Drupal 9 compatible."
date_recur_interactive;"Not tested with Drupal 9. As of September 2020 the recommended path is to switch to an alternative/custom widget than continue using this in Drupal 9. This may change if a new maintainer is identified."
rules_token;"The module cannot be compatible with Drupal 9 until the Rules module will be compatible. See https://www.drupal.org/project/drupal/issues/3126747"
typogrify;"The 8.x-1.0 release is compatible with Drupal 9."
rocket_chat;"Help test this project at #<a href=""https://www.drupal.org/project/rocket_chat/issues/3132031"">3132031</a>"
bootstrap_datepicker;"Focus for now is getting a stable 8 version. If we don't use deprecated code, we will be fine for Drupal 9 🙌😄"
menu_item_fields;"The latest release is compatible with Drupal 9"
calendar_link;"<a href=""https://www.drupal.org/project/calendar_link/releases/8.x-1.1"">Calendar Links 8.x-1.1</a> supports Drupal 9."
range_slider;"Release <code>8.x-1.1</code> is D9 compatible!"
fullcalendar;"Compatible since version 8.x-1.0-alpha3"
google_optimize;"Fully ported to Drupal 9"
simple_styleguide;"Drupal 9 ready!"
paragraphs_sets;"8.x-2.x-dev is compatible with Drupal 9."
search_api_algolia;"Read more about this project’s readiness at <a href=""https://www.drupal.org/project/search_api_algolia/issues/3138856"">#3138856</a>"
tacjs;"8.x-3.10 is Drupal 9 compatible."
paragraphs_browser_previewer;"Module already ready to Drupal 9"
breeze;"3.0.0 branch works on Both D8 and D9"
layout_builder_component_attributes;"This module is compatible with Drupal 9!"
saml_sp;"Currently there is no deprecated code, yet it has not been tested on Drupal 9"
age_field_formatter;"This module is Drupal 9 ready."
ip_anon;"The 8.x-1.x branch of this module supports Drupal 9."
entity_language_fallback;"Help port this project at [#3088973]"
sharedemail;"Release <code>8.x-2.1</code> is D9 compatible!"
rng_date_scheduler;"Not yet supported."
podcast;"The latest version is compatible with Drupal 9"
core_context;"This module is compatible with Drupal 9."
bibcite;"Currently no known Drupal 9 compatibility issues in latest <a href=""https://www.drupal.org/project/bibcite/releases/8.x-1.x-dev"">8.x-1.x-dev</a>. [#3106019] [#3122162] [#3122519] [#3122751] [#3122552]"
sortableviews;"Version 8.x-1.0-beta1 supports Drupal 9"
simple_mail;"This module was ported to Drupal 9 during DrupalCon Global 2020."
rules_webform;"The module cannot be compatible with Drupal 9 until the Rules module will be compatible. See https://www.drupal.org/project/drupal/issues/3126747 Drupal 9 version will be tagging an 8.x-2.x release and will be incompatible with Drupal&nbsp;8."
email_confirmer;"Work in progress, see [#3119778]"
better_field_descriptions;"Better Field Descriptions 8.x-1.5+ supports Drupal 9. Enjoy."
imagelightbox;"is planned for the summer of 2020."
fac;"Fast Autocomplete >= 8.x-1.6 is Drupal 9 compatible."
date_ap_style;"This module is Drupal 9 ready!"
lockr;"Lockr works wonderfully on Drupal 9!"
lp_fontawesome;"Compatible with Drupal 9"
external_hreflang;"This module is D9 ready."
admin_toolbar_mediteran;"Drupal 9 is currently supported from version 1.5"
flood_settings;"This module is already compatible with Drupal 9."
maestro;"A 3.0.0-xxx release for Maestro has been provided.  This release has removed all deprecated code, has code style updates and allows Maestro to be run on D8.8+ and D9."
insert_view_adv;"Module is fully Drupal 9 compatible"
userpoints;"This module is compatible with Drupal 9 from version 1.0-beta1 onwards"
phone_international;"<strong>This module is Drupal 9 ready.</strong>"
image_link_attributes;"The version 9.x release of the Image Link Attributes module has been tested and is ready to go. I'll tag the 9.x release on the day Drupal 9 lands."
custom_view_filters;"This module is already compatible with Drupal 9."
views_url_path_arguments;"Fully supports Drupal 9."
draggable_dashboard;"Module is fully Drupal 9 compatible"
entity_export_csv;"Entity Export Csv is Drupal 9 compatible since beta5 version"
electra;"At present compatible with Drupal 9"
fortytwo;"Drupal 9 compatible!"
pfm;"Compatible since version 8.x-1.2"
views_fractionslider;"<strong>FractionSlider 8.x-1.2</strong> Scanned on 09-Apr-2020. No known issues found.  <strong>Views FractionSlider 8.x-1.2</strong> Scanned on 09-Apr-2020. No known issues found."
single_image_formatter;"This module and its submodules are already compatible with Drupal 9."
html_formatter;"HTML Formatter supports Drupal 9."
nagios;"This module is ready for Drupal 9."
varbase_faqs;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_faqs?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
registration_link;"No deprecation usage."
queue_order;"The project is ready for Drupal 9 🎉🎉🎉"
error_log;"The 8.x-1.x branch of this module supports Drupal 9."
migrate_source_ui;"Support Drupal 9"
rng_quick;"Not yet."
radioactivity;"The current 8.x-3.x development release is Drupal 9 compatible. The next release after 8.x-3.0-alpha5 will be Drupal 9 compatible."
layout_bg;Ready!
webform_validation;"Help port this project at [#2220971]."
responsive_background_image;"This module is Drupal 9 compatible in the latest branch (>= alpha2)"
gridstack;"GridStack 8.x-2.x supports Drupal 9. Enjoy."
ldap_sso;"Branch 4.x is compatible with D9."
vartheme_claro;"<strong>Works and ready for Drupal 9.</strong>"
node_read_time;"Node read time 8.x-1.2+ supports Drupal 9."
address_display;"Drupal 9 is also supported."
varbase_auth;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_auth?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
stripe_api;"This module is Drupal 9 compatible."
hcaptcha;"hCaptcha 1.1 is now Drupal 9 compatible."
convert_nodes;"Converted by lobodacyril"
betterlt;"This module is Drupal 9 compatible 🍻"
ckeditor_specialchars;"Drupal 9 ready"
field_inheritance;"Built and tested against D8.8, D8.9 and D9.0."
paragraphs_entity_embed;"We are now ready for D9 and added a compatibility release."
twig_typography;"This module is ready for Drupal 9."
uswds_base;"Drupal 9 Ready"
ckeditor_oembed;"Porting this project to D9 will start with Drupal 8.9 first release ."
view_profiles_perms;"Project is compatible with Drupal 9 (2.0.x)"
miniorange_saml;"Currently no known issues with Drupal 9."
block_list_override;"This module is Drupal 9 compatible."
instagram_graph;"This module is compatible with Drupal 9."
calendar_systems;"Already compatible with D9 on latest 8.x branch and releases."
commerce_variation_add_to_cart;"This module is Drupal 9 ready."
toolbar_language_switcher;"The current dev version has to be compatible with Drupal Core 9. Anyway, any feature or bug requests are welcome."
svg_upload_sanitizer;"This module already supports Drupal 9."
twig_views;"Release <code>8.x-1.3</code> is D9 compatible!"
varbase_media_header;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_media_header?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
groupmedia;"Module is Drupal 9 compatible."
protected_submissions;"8.x branch is compatible with Drupal 9!"
scanner;"D9 is fully supported since 8.x-1.0-rc2."
get_tweets;"Release <code>8.x-1.2-beta1</code> is D9 compatible!"
campaignmonitor;"Read more about this project’s readiness at [#3146377] and [#3149575]."
fraction;"The 8.x-1.x branch is compatible with Drupal 9!"
cck_select_other;"<ul>   <li>Currently compatible with 9.0.0. [#3089761]</li>   <li>Future state: Possibly adding migrations to select_or_other module [#3093944]. Please discuss opinions in that issue.</li> </ul>"
entity_pilot;"See [#3092380], help appreciated"
user_menu_avatar;"Drupal Rector patch for D9 compatibility has been applied."
json_feed;"Drupal 9 is supported as of version 1.2."
better_module_dependencies;"<a href=""https://www.drupal.org/project/better_module_dependencies/issues/3103473"">#3103473: Add new key core_version_requirement in better_module_dependencies.info.yml </a>"
virtual_tour;"2.0.0-alpha1+ are compatible with Drupal 9."
ueditor;"Already updated done! enjoy!"
mimedetect;"D9 compatibility added to dev version"
guardr_core;"Guardr Core is Drupal 9 compatible starting with release <a href=""https://www.drupal.org/project/guardr_core/releases/8.x-1.0-beta3"">8.x-1.0-beta3</a> Note: Not all projects included with Guardr and Guardr Core are Drupal 9 compatible at this time. Drupal 9 related work for Guardr: <a href=""https://www.drupal.org/project/guardr/issues/3107871"">[META] Drupal 9 release plan for Guardr</a>"
simplesamlphp_custom_attributes;"1.1 should be ready for Drupal 9."
obfuscate;"8.x-1.x is Drupal 9 compatible."
views_taxonomy_parent_id_from_term;"This module is Drupal 9 ready."
twig_remove_html_comments;"Release <a href=""https://www.drupal.org/project/twig_remove_html_comments/releases/8.x-1.0-beta1"" title=""8.x-1.0-beta1"">8.x-1.0-beta1</a> and onwards is compatible with Drupal 9."
unique_entity_title;"Unique entity title 8.x-1.2+ supports Drupal 9"
merge_translations;"Merge translations is ready for Drupal 9 :)"
simple_menu_permissions;"The dev version and the 1.3 release is compatible with Drupal 9 requirements."
node_access_rebuild_progressive;"There is a new release 2.0 covering Drupal 9, please use this version if you are working with Drupal version >= 8.8"
erd;"This module is Drupal 9 ready."
d8_google_optimize_hide_page;"Fully ported to Drupal 9"
improve_line_breaks_filter;"This module supports Drupal 9."
quiz;"6.x-dev is Drupal 9 compatible."
dynamictagclouds;"Drupal 9 compatible from 8.x-2.1 version."
content_synchronizer;"Content Synchronizer supports Drupal 9 since version 3.0"
ds_chains;"This module is ready for Drupal 9 as of 8.x-1.1!"
rules_user_fields;"The module cannot be compatible with Drupal 9 until the Rules module will be compatible. See https://www.drupal.org/project/drupal/issues/3126747"
config_log;"The version 3.0.0 is compatible with Drupal 9."
zuvi;"This theme is Drupal 9 ready. Zuvi theme is compatible on Drupal 9. So, go ahead and use the theme on Drupal 9 websites."
dblog_filter;"[#3058426] Test for Drupal 9 Deprecations"
prevent_homepage_deletion;"Should be D9 compatible. See issue [#3124144]"
language_hierarchy;"The latest 2.0.0-rc1 release is compatible with Drupal 9!"
webform_invitation;"Drupal 9 is fully supported since version 1.1."
webform_mass_email;"This module is Drupal 9 compatible."
page_title_visibility;"This module is compatible with Drupal 9! See [#3130312]"
status_messages;"This module is Drupal 9 compatible 🍻"
adv_varnish;"8.x-3.x versions are compatible with Drupal 9"
jsonb;"Compatible with 9.0 since 8.x-1.0-beta3"
varbase_layout_builder;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_layout_builder?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
recurring_events;"Built and tested against D8.8, D8.9 and D9.0."
data;"Help port this project at [#3088972]"
views_node_access_filter;"This module is Drupal 9 ready."
search_overrides;"This module is Drupal 9 ready."
varbase_reports;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_reports?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
porterstemmer;"This project is compatible with Drupal 9."
bootstrap_styles;"Ready for Drupal 9!"
matomo_reports;"This module is Drupal 9 ready!"
views_attach_library;"Fully Drupal 9 compatible as of 8.x-1.x."
preprocess;"8.x-1.3+ is Drupal 9 compatible."
jquery_carousel;"jQuery Carousel 8.x-1.0+ supports Drupal 9."
pet;"Please help in finishing Drupal 8 issues, so this module can be ported to Drupal9."
onomasticon;"Drupal 9 is fully supported since version 1.5."
spamicide;"Drupal 9 is also supported."
layout_builder_base;"The module is Drupal 9 ready!"
message_banner;"<a href=""https://www.drupal.org/project/message_banner/releases/8.x-1.1"">Release 1.1</a> adds Drupal 9 compatibility. It's now ready for use on D9!"
dxpr_theme;"We aim to have a Drupal 9 release on the day Drupal 9.0.0 is out."
recipe;"Versions 8.x-2.0-alpha3 and higher are compatible with Drupal 9!"
ckeditor_details;"This module is Drupal 9 ready."
layout_builder_kit;"Ready for D9."
simple_user_management;"This module is Drupal 9 ready."
filemime;"The 8.x-1.x branch of this module supports Drupal 9."
die_in_twig;"Release 8.x-2.1 is compatible for Drupal 8"
feed_block;"This module is Drupal 9 compatible! See [#3130335]"
uiplog;"Being done, see [#3141992] & [#3139360]."
helper;"This module is Drupal 9 compatible."
ckeditor_images_gallery;"CKEditor Images Gallery 8.x-1.4+ supports Drupal 9. Enjoy."
htmlpurifier;"As of 1.0-rc2, full support for Drupal 8 and Drupal 9 is available."
layout_builder_save_and_edit;"This module is Drupal 9 compatible 🍻"
existing_values_autocomplete_widget;"Use version 2.x for D9"
formatter_suite;"Formatter Suite 8.x-1.3 is compatible with Drupal 9."
upgrade_rector;"8.x-1.0-alpha4 onwards is Drupal 9 compatible."
tmgmt_extension_suit;"Drupal 9 compatible"
n1ed;"N1ED is ready for Drupal 9"
sitemeta;"This module is Drupal 9 ready."
map_widget;"8.x-1.1+ is Drupal 9 compatible."
entity_comparison;"This module already supports Drupal 9"
better_login_form_config;"8.x-2.x is Drupal 9 compatible"
config_single_export;"Help port this project at [#3099570]"
video_embed_jwplayer;"Use 1.0+ of this module"
ipless;"This module is ready for Drupal 9."
filelog;"This module is fully compatible with Drupal 9 as of version 2.0.0."
bulk_copy_fields;"Should be all set. Current version has been updated and tested. File an issue if you find one. Patches appreciated."
http_client_error_status;"Please use version 2.x for full Drupal 9 compatibility."
svg_icon;"The 8.x-1.x branch is compatible with Drupal 9."
formassembly;"Version 1.2+ is tested on D9"
visually_impaired_module;"8.x-1.3+ is Drupal 9 compatible."
webform_simplenews_handler;[#3084207]
wysiwyg_mediaembed;"This has been updated for Drupal 9 compatibility, file an issue if there are problems."
iframe_title_filter;"This module is Drupal 9 compatible! See [#3130316]"
polyfill;"8.x-1.x-dev is Drupal 9 compatible."
queue_unique;"Module is compatible with Drupal 9 since [#3152220]"
metatag_head_title;"Release 1.1 should work with D9."
logging_alerts;"Logging and alerts 8.x-1.0+ supports Drupal 9."
colors;"Compatible since version 8.x-1.0-beta1"
tmgmt_smartling;"Drupal 9 compatible"
social_wall;"This module is Drupal 9 ready."
api_ai_webhook;"Drupal 9 is fully supported from version 2.0-rc4."
visually_impaired_theme;"8.x-1.3+ is Drupal 9 compatible."
ckeditor_format_buttons;"This module is Drupal 9 ready."
intense;"Intense 8.x-2.x supports Drupal 9. Enjoy."
graphql_twig;[#3107672]
countries_info;"Module is compatible with Drupal 9."
chatbot_api;"Drupal 9 compatible since version 2.0-rc2 ."
editor_button_link;"Focus for now is getting a stable 8 version. If we don't use deprecated code, we will be fine for Drupal 9 🙌😄"
content_feedback;"Content Feedback 8.x-1.3+ supports Drupal 9."
gmap_store_locator;"This module is Drupal 9 ready."
field_label;"Field Label works with Drupal 9."
autofloat;"Tested on Drupal 9 and confirmed fully functional."
headroomjs;"8.x-1.0-beta3 is Drupal 9 updated."
oembed_providers;"This module is ready for Drupal 9!"
add_content_by_bundle;"This module is ready for Drupal 9."
image_hotspots;"<a href=""https://www.drupal.org/project/image_hotspots/issues/3103469"">#3103469: Add new key core_version_requirement in image_hotspots.info.yml </a>"
